8,5,1,2,"2009/02/02","2009/02/02 19:30:00","2009/02/02 21:00:00","","",False
8,5,1,1,"2009/02/02","2009/02/02 19:30:00","2009/02/02 21:00:00","","",False
8,5,1,1,"2009/02/02","2009/02/02 23:00:00","2009/02/03 00:00:00","","",False
8,5,1,2,"2009/02/02","2009/02/02 23:00:00","2009/02/03 00:00:00","","",False
8,19,1,2,"2009/02/03","2009/02/03 05:00:00","2009/02/03 06:30:00","","",False
8,19,1,1,"2009/02/03","2009/02/03 05:00:00","2009/02/03 06:30:00","","",False
4,2,1,2,"2009/02/03","2009/02/03 07:00:00","2009/02/03 08:00:00","","",False
4,2,1,1,"2009/02/03","2009/02/03 07:00:00","2009/02/03 08:00:00","","",False
8,13,1,1,"2009/02/03","2009/02/03 10:00:00","2009/02/03 12:00:00","","",False
8,13,1,2,"2009/02/03","2009/02/03 10:00:00","2009/02/03 12:00:00","","",False
13,9,3,2,"2009/02/03","2009/02/03 10:00:00","2009/02/03 15:00:00","","",False
13,9,3,1,"2009/02/03","2009/02/03 10:00:00","2009/02/03 15:00:00","íãêHÇ†ÇË çÏïiìW ïÍìØçs§ïÍÇÃé‘Ç…Çƒà⁄ìÆ","",False
26,2,51,1,"2009/02/03","2009/02/03 10:00:00","2009/02/03 10:30:00","ãLò^09:00Ç©ÇÁ09:30ÇÃä‘ í√ìcëóÇË","",False
19,43,51,1,"2009/02/03","2009/02/03 10:00:00","2009/02/03 10:30:00","ãLò^ 09:00-09:30í√ìcà„â@ëóÇË","0930",False
19,43,51,2,"2009/02/03","2009/02/03 10:00:00","2009/02/03 10:30:00","ãLò^ 09:00-09:30í√ìcà„â@ëóÇË","",False
26,2,52,2,"2009/02/03","2009/02/03 10:00:00","2009/02/03 10:30:00","","",False
26,3,51,2,"2009/02/03","2009/02/03 11:30:00","2009/02/03 12:00:00","","",False
19,43,51,2,"2009/02/03","2009/02/03 11:30:00","2009/02/03 12:00:00","","",False
19,43,51,1,"2009/02/03","2009/02/03 11:30:00","2009/02/03 12:00:00","í√ìcà„â@å}Ç¶","",False
26,3,51,1,"2009/02/03","2009/02/03 11:30:00","2009/02/03 12:00:00","í√ìcå}Ç¶","",False
26,5,52,1,"2009/02/03","2009/02/03 12:30:00","2009/02/03 13:30:00","","",False
26,5,52,2,"2009/02/03","2009/02/03 12:30:00","2009/02/03 13:30:00","","",False
8,26,2,2,"2009/02/03","2009/02/03 14:00:00","2009/02/03 16:00:00","","",False
8,26,2,1,"2009/02/03","2009/02/03 14:00:00","2009/02/03 16:00:00","","",False
5,11,3,1,"2009/02/03","2009/02/03 14:00:00","2009/02/03 18:00:00","Y&H","",False
5,11,3,2,"2009/02/03","2009/02/03 14:00:00","2009/02/03 18:00:00","","",False
24,31,3,1,"2009/02/03","2009/02/03 14:50:00","2009/02/03 16:20:00","","",False
24,31,3,2,"2009/02/03","2009/02/03 14:50:00","2009/02/03 16:20:00","","",False
11,6,3,2,"2009/02/03","2009/02/03 15:20:00","2009/02/03 16:20:00","","",False
11,6,3,1,"2009/02/03","2009/02/03 15:20:00","2009/02/03 16:20:00","","",False
1,2,3,2,"2009/02/03","2009/02/03 15:30:00","2009/02/03 18:00:00","","",False
22,32,3,2,"2009/02/03","2009/02/03 15:30:00","2009/02/03 16:30:00","","",False
1,2,3,1,"2009/02/03","2009/02/03 15:30:00","2009/02/03 18:00:00","","",False
22,32,3,1,"2009/02/03","2009/02/03 15:30:00","2009/02/03 16:30:00","","",False
8,26,1,2,"2009/02/03","2009/02/03 16:00:00","2009/02/03 17:30:00","","",False
8,26,1,1,"2009/02/03","2009/02/03 16:00:00","2009/02/03 17:30:00","","",False
4,3,3,2,"2009/02/03","2009/02/03 16:00:00","2009/02/03 18:00:00","","",False
4,3,3,1,"2009/02/03","2009/02/03 16:00:00","2009/02/03 18:00:00","","",False
11,6,1,1,"2009/02/03","2009/02/03 16:20:00","2009/02/03 17:20:00","","",False
11,6,1,2,"2009/02/03","2009/02/03 16:20:00","2009/02/03 17:20:00","","",False
4,3,1,2,"2009/02/03","2009/02/03 18:00:00","2009/02/03 19:30:00","","",False
4,3,1,1,"2009/02/03","2009/02/03 18:00:00","2009/02/03 19:30:00","","",False
8,5,1,2,"2009/02/03","2009/02/03 19:30:00","2009/02/03 21:00:00","","",False
8,5,1,1,"2009/02/03","2009/02/03 19:30:00","2009/02/03 21:00:00","","",False
23,6,51,2,"2009/02/03","2009/02/03 20:00:00","2009/02/03 20:30:00","","",False
23,6,51,1,"2009/02/03","2009/02/03 20:00:00","2009/02/03 20:30:00","","",False
8,36,1,2,"2009/02/03","2009/02/03 23:00:00","2009/02/04 00:00:00","","",False
8,36,1,1,"2009/02/03","2009/02/03 23:00:00","2009/02/04 00:00:00","","",False
8,19,1,2,"2009/02/04","2009/02/04 05:00:00","2009/02/04 06:30:00","","",False
8,19,1,1,"2009/02/04","2009/02/04 05:00:00","2009/02/04 06:30:00","","",False
4,2,1,2,"2009/02/04","2009/02/04 07:00:00","2009/02/04 08:00:00","","",False
4,2,1,1,"2009/02/04","2009/02/04 07:00:00","2009/02/04 08:00:00","","",False
1,2,3,1,"2009/02/04","2009/02/04 09:00:00","2009/02/04 10:00:00","","",False
1,2,3,2,"2009/02/04","2009/02/04 09:00:00","2009/02/04 10:00:00","","",False
8,32,1,2,"2009/02/04","2009/02/04 10:00:00","2009/02/04 12:00:00","","",False
6,11,1,2,"2009/02/04","2009/02/04 10:00:00","2009/02/04 12:00:00","","",False
8,32,1,1,"2009/02/04","2009/02/04 10:00:00","2009/02/04 12:00:00","","",False
6,11,1,1,"2009/02/04","2009/02/04 10:00:00","2009/02/04 12:00:00","ó\ñÒ10:40ÿ Àﬁÿ","",False
5,3,1,1,"2009/02/04","2009/02/04 10:30:00","2009/02/04 11:30:00","","",False
5,3,1,2,"2009/02/04","2009/02/04 10:30:00","2009/02/04 11:30:00","","",False
8,32,2,2,"2009/02/04","2009/02/04 12:00:00","2009/02/04 14:00:00","","",False
8,32,2,1,"2009/02/04","2009/02/04 12:00:00","2009/02/04 14:00:00","åßóßìÚçËïaâ@ä·â»éÛêf13:20~ëÂóSëóÇË","",False
26,5,52,2,"2009/02/04","2009/02/04 12:00:00","2009/02/04 13:00:00","","",False
26,5,52,1,"2009/02/04","2009/02/04 12:00:00","2009/02/04 13:00:00","","",False
8,32,3,2,"2009/02/04","2009/02/04 14:00:00","2009/02/04 16:00:00","","",False
8,32,3,1,"2009/02/04","2009/02/04 14:00:00","2009/02/04 16:00:00","","",False
11,20,3,1,"2009/02/04","2009/02/04 14:30:00","2009/02/04 15:30:00","","",False
11,20,3,2,"2009/02/04","2009/02/04 14:30:00","2009/02/04 15:30:00","","",False
5,1,1,2,"2009/02/04","2009/02/04 15:00:00","2009/02/04 16:00:00","","",False
5,1,1,1,"2009/02/04","2009/02/04 15:00:00","2009/02/04 16:00:00","çÑåNëóÇË","",False
1,2,3,2,"2009/02/04","2009/02/04 15:30:00","2009/02/04 16:30:00","","",False
7,37,3,2,"2009/02/04","2009/02/04 15:30:00","2009/02/04 18:30:00","","",False
1,2,3,1,"2009/02/04","2009/02/04 15:30:00","2009/02/04 16:30:00","","",False
7,37,3,1,"2009/02/04","2009/02/04 15:30:00","2009/02/04 18:30:00","","",False
8,32,1,1,"2009/02/04","2009/02/04 16:00:00","2009/02/04 17:30:00","","",False
8,32,1,2,"2009/02/04","2009/02/04 16:00:00","2009/02/04 17:30:00","","",False
4,1,3,2,"2009/02/04","2009/02/04 16:00:00","2009/02/04 17:30:00","ëÃí≤ïsó«ÇÃà◊§ïÍÇ∆òAóçÇ∆ÇËëÅÇﬂÇ…ãAëÓÇ∑ÇÈ","",True
4,1,3,1,"2009/02/04","2009/02/04 16:00:00","2009/02/04 17:30:00","ëÂóSëŒâû","",False
